seq1_id,seq2_id,tm_score
d1914a2,d1a0aa_,0.2823
d1914a2,d1a0ia1,0.31007
d1914a2,d1a0ia2,0.21544
d1914a2,d1a0pa2,0.2408
d1914a2,d1a12a_,0.18837
d1914a2,d1a17a_,0.30832
d1914a2,d1a1va1,0.27772
d1914a2,d1a1xa_,0.30672
d1914a2,d1a32a_,0.39189
d1914a2,d1a4ia2,0.32929
d1914a2,d1a62a1,0.30555
d1914a2,d1a6bb_,0.19
d1914a2,d1a6ca1,0.24705
d1914a2,d1a6ca2,0.24159
d1914a2,d1a6ja_,0.29762
d1914a2,d1a79a1,0.29986
d1914a2,d1a79a2,0.27675
d1914a2,d1a7ta_,0.24602
d1914a2,d1a8da1,0.2112
d1914a2,d1ab8a_,0.29141
d1914a2,d1ad2a_,0.24032
d1914a2,d1ae9a_,0.25305
d1914a2,d1ag7a_,0.24064
d1914a2,d1agga_,0.22787
d1914a2,d1agqa_,0.2743
d1914a2,d1ahla_,0.23396
d1914a2,d1ahoa_,0.24174
d1914a2,d1ahsa_,0.26522
d1914a2,d1aisa1,0.30214
d1914a2,d1aisb1,0.3442
d1914a2,d1aiwa_,0.24719
d1914a2,d1akoa_,0.21904
d1914a2,d1akya2,0.22567
d1914a2,d1alua_,0.31824
d1914a2,d1am2a_,0.24126
d1914a2,d1am7a_,0.26502
d1914a2,d1an8a1,0.24451
d1914a2,d1ansa_,0.17517
d1914a2,d1aoca_,0.22184
d1914a2,d1aoea_,0.19047
d1914a2,d1aoya_,0.3513
d1914a2,d1aoza1,0.28454
d1914a2,d1aoza3,0.22563
d1914a2,d1apja_,0.29635
d1914a2,d1apy.1,0.19666
d1914a2,d1aqca_,0.36423
d1914a2,d1aqea_,0.28816
d1914a2,d1aqta1,0.37829
d1914a2,d1aqta2,0.36535
d1914a2,d1aqza_,0.23488
d1914a2,d1asha_,0.27232
d1914a2,d1ataa_,0.24637
d1914a2,d1atia1,0.31475
d1914a2,d1atia2,0.20171
d1914a2,d1auya_,0.26998
d1914a2,d1avwb_,0.27196
d1914a2,d1ax8a_,0.28597
d1914a2,d1axib1,0.39332
d1914a2,d1ayaa_,0.36992
d1914a2,d1ayea2,0.26042
d1914a2,d1ayoa_,0.32342
d1914a2,d1azoa_,0.25764
d1914a2,d1azza_,0.2341
d1914a2,d1b0ba_,0.29914
d1914a2,d1b0na2,0.28387
d1914a2,d1b0nb_,0.31094
d1914a2,d1b12a_,0.27301
d1914a2,d1b24a1,0.3217
d1914a2,d1b24a2,0.3021
d1914a2,d1b35.1,0.15657
d1914a2,d1b35a_,0.18287
d1914a2,d1b3qa1,0.34756
d1914a2,d1b3qa2,0.29273
d1914a2,d1b3ua_,0.14328
d1914a2,d1b4ra_,0.3743
d1914a2,d1b5ea_,0.25892
d1914a2,d1b63a1,0.29656
d1914a2,d1b67a_,0.28803
d1914a2,d1b6ga_,0.19607
d1914a2,d1b74a1,0.2563
d1914a2,d1b9ha_,0.19459
d1914a2,d1b9ma1,0.31452
d1914a2,d1b9oa_,0.26237
d1914a2,d1b9wa2,0.27759
d1914a2,d1bama_,0.27948
d1914a2,d1baza_,0.27798
d1914a2,d1bbga_,0.26047
d1914a2,d1bboa1,0.26364
d1914a2,d1bcoa1,0.3117
d1914a2,d1bd8a_,0.25308
d1914a2,d1bdfa1,0.31218
d1914a2,d1bdfa2,0.29196
d1914a2,d1beaa_,0.33301
d1914a2,d1bf2a3,0.16753
d1914a2,d1bf6a_,0.22923
d1914a2,d1bg1a2,0.19619
d1914a2,d1bg1a3,0.32477
d1914a2,d1bgca_,0.24383
d1914a2,d1bgva2,0.26289
d1914a2,d1bh9a_,0.32612
d1914a2,d1bh9b_,0.27585
d1914a2,d1bhea_,0.18112
d1914a2,d1bhpa_,0.33155
d1914a2,d1bi6.2,0.1944
d1914a2,d1bi6h1,0.22169
d1914a2,d1biaa3,0.28728
d1914a2,d1bifa1,0.26026
d1914a2,d1bifa2,0.21166
d1914a2,d1biha1,0.37055
d1914a2,d1biha2,0.35091
d1914a2,d1biha4,0.37785
d1914a2,d1bkpa_,0.20657
d1914a2,d1bkra_,0.32657
d1914a2,d1bm8a_,0.30044
d1914a2,d1bm9a_,0.30146
d1914a2,d1bmlc3,0.26518
d1914a2,d1bnba_,0.21642
d1914a2,d1bnda_,0.25989
d1914a2,d1bola_,0.23709
d1914a2,d1booa_,0.21497
d1914a2,d1boub_,0.21423
d1914a2,d1bpoa1,0.30908
d1914a2,d1bqua1,0.36837
d1914a2,d1brta_,0.20581
d1914a2,d1btea_,0.25529
d1914a2,d1btna_,0.37731
d1914a2,d1bu8a2,0.19811
d1914a2,d1bvp11,0.27839
d1914a2,d1bvsa1,0.27833
d1914a2,d1bvsa3,0.2887
d1914a2,d1bw5a_,0.29432
d1914a2,d1bwda_,0.20669
d1914a2,d1bx7a_,0.23322
d1914a2,d1bxda_,0.24081
d1914a2,d1bxya_,0.2544
d1914a2,d1by5a_,0.12095
d1914a2,d1byfa_,0.29816
d1914a2,d1byia_,0.26734
d1914a2,d1byra_,0.31832
d1914a2,d1c01a_,0.26412
d1914a2,d1c0aa2,0.29305
d1914a2,d1c0pa1,0.22228
d1914a2,d1c17m_,0.34175
d1914a2,d1c1da2,0.31824
d1914a2,d1c1ka_,0.26622
d1914a2,d1c20a_,0.30724
d1914a2,d1c3ca_,0.17049
d1914a2,d1c3ga1,0.31026
d1914a2,d1c3ga2,0.28478
d1914a2,d1c3za_,0.25792
d1914a2,d1c44a_,0.27052
d1914a2,d1c4oa2,0.29529
d1914a2,d1c52a_,0.34218
d1914a2,d1c53a_,0.3334
d1914a2,d1c5ea_,0.27666
d1914a2,d1c7ka_,0.24242
d1914a2,d1c8ua1,0.32787
d1914a2,d1c8ua2,0.27138
d1914a2,d1c9fa_,0.28009
d1914a2,d1ca1a1,0.24361
d1914a2,d1cb8a1,0.24715
d1914a2,d1cb8a2,0.27676
d1914a2,d1cbha_,0.27369
d1914a2,d1ccwb_,0.16891
d1914a2,d1ccza2,0.40372
d1914a2,d1cd9b2,0.36612
d1914a2,d1ceoa_,0.21035
d1914a2,d1cf7a_,0.40044
d1914a2,d1cf7b_,0.38319
d1914a2,d1cfba1,0.27767
d1914a2,d1cfba2,0.33635
d1914a2,d1cfea_,0.28529
d1914a2,d1cfra_,0.2306
d1914a2,d1cg2a1,0.24874
d1914a2,d1cg2a2,0.3067
d1914a2,d1cg5b_,0.29928
d1914a2,d1cgme_,0.29633
d1914a2,d1chca_,0.25735
d1914a2,d1chda_,0.25581
d1914a2,d1chua1,0.38959
d1914a2,d1chua2,0.26261
d1914a2,d1chua3,0.24427
d1914a2,d1cida1,0.3293
d1914a2,d1cipa1,0.27246
d1914a2,d1cixa_,0.28275
d1914a2,d1ciya2,0.27513
d1914a2,d1cjaa_,0.20753
d1914a2,d1cjca2,0.23266
d1914a2,d1cjwa_,0.28126
d1914a2,d1cjxa1,0.27262
d1914a2,d1cjxa2,0.29042
d1914a2,d1cjya2,0.1743
d1914a2,d1ckaa_,0.32127
d1914a2,d1ckea_,0.23977
d1914a2,d1ckma1,0.27681
d1914a2,d1ckma2,0.23971
d1914a2,d1clca1,0.18684
d1914a2,d1clca2,0.2793
d1914a2,d1cmxa_,0.23817
d1914a2,d1co4a_,0.18349
d1914a2,d1coja1,0.30641
d1914a2,d1coja2,0.2908
d1914a2,d1cola_,0.26491
d1914a2,d1coza_,0.29371
d1914a2,d1cr1a_,0.26386
d1914a2,d1cr5a1,0.25291
d1914a2,d1cr5a2,0.24794
d1914a2,d1crua_,0.15405
d1914a2,d1cs6a4,0.361
d1914a2,d1csei_,0.31154
d1914a2,d1ct9a1,0.23447
d1914a2,d1ct9a2,0.24779
d1914a2,d1ctja_,0.36746
d1914a2,d1cv8a_,0.26786
d1914a2,d1cvja1,0.27551
d1914a2,d1cwva1,0.38115
d1914a2,d1cwva2,0.36929
d1914a2,d1cwva3,0.32754
d1914a2,d1cx4a2,0.31002
d1914a2,d1cxya_,0.27273
d1914a2,d1cyxa_,0.26056
d1914a2,d1cz4a2,0.24278
d1914a2,d1d0da_,0.28444
d1914a2,d1d0qa_,0.29405
d1914a2,d1d1na_,0.26127
d1914a2,d1d2fa_,0.17832
d1914a2,d1d2na_,0.28073
d1914a2,d1d2pa4,0.3377
d1914a2,d1d2zb_,0.26146
d1914a2,d1d3bb_,0.29344
d1914a2,d1d3ya_,0.22474
d1914a2,d1d4oa_,0.28757
d1914a2,d1d5ra1,0.34085
d1914a2,d1d5ra2,0.26573
d1914a2,d1d5ta1,0.20391
d1914a2,d1d5ta2,0.29995
d1914a2,d1d5ya2,0.36005
d1914a2,d1d5ya3,0.29041
d1914a2,d1d7qa_,0.28174
d1914a2,d1d8ba_,0.33758
d1914a2,d1d8ka_,0.42274
d1914a2,d1d8wa_,0.19663
d1914a2,d1daba_,0.12704
d1914a2,d1dbha1,0.27447
d1914a2,d1dbqa_,0.17507
d1914a2,d1dbwa_,0.30418
d1914a2,d1dcea1,0.21916
d1914a2,d1dcea2,0.34271
d1914a2,d1dcea3,0.30635
d1914a2,d1dcia_,0.24796
d1914a2,d1dcsa_,0.22418
d1914a2,d1dcza_,0.32773
d1914a2,d1dd9a_,0.20572
d1914a2,d1ddba_,0.29234
d1914a2,d1ddga1,0.23875
d1914a2,d1ddza2,0.25252
d1914a2,d1deca_,0.24724
d1914a2,d1deka_,0.21365
d1914a2,d1dg6a_,0.23245
d1914a2,d1dgsa1,0.29321
d1914a2,d1di2a_,0.42837
d1914a2,d1diva1,0.3021
d1914a2,d1dk8a_,0.28267
d1914a2,d1dkga1,0.20605
d1914a2,d1dkia_,0.17306
d1914a2,d1dl0a_,0.25812
d1914a2,d1dl2a_,0.1789
d1914a2,d1dl5a1,0.226
d1914a2,d1dl6a_,0.3219
d1914a2,d1dlja1,0.35326
d1914a2,d1dlpa2,0.28903
d1914a2,d1dlwa_,0.28304
d1914a2,d1dmca_,0.25749
d1914a2,d1dmga_,0.22338
d1914a2,d1dmla1,0.36251
d1914a2,d1dmla2,0.43925
d1914a2,d1dmua_,0.21576
d1914a2,d1dnla_,0.2641
d1914a2,d1dofa_,0.17318
d1914a2,d1dova_,0.28551
d1914a2,d1dp7p_,0.31597
d1914a2,d1dpja_,0.18663
